Date,NFLX,AAPL,TSLA
2017-02-03,0.74,0.1925,-0.116
2017-02-06,0.97,0.29,1.354
2017-02-07,2.51,0.2475,-0.142
2017-02-08,1.17,0.1725,0.946
2017-02-09,-0.84,0.1925,0.59
2017-02-10,0.14,-0.085,-0.112
2017-02-13,-1.99,0.0525,1.972
2017-02-14,-2.38,0.3875,0.39
2017-02-15,1.55,-0.0025,-0.048
2017-02-16,-0.41,-0.08,-1.73
2017-02-17,0.47,0.155,1.286
2017-02-21,-0.39,0.1175,0.388
2017-02-22,0.94,0.17,-1.36
2017-02-23,-1.67,-0.2125,-1.602
2017-02-24,1.37,0.1875,0.868
2017-02-27,0.29,-0.0525,-0.388
2017-02-28,-1.17,-0.0225,1.16
2017-03-01,-0.19,0.475,-0.832
2017-03-02,-2.62,-0.26,0.154
2017-03-03,-0.55,0.25,0.166
2017-03-06,0.94,-0.0075,0.66
2017-03-07,-0.56,0.115,-0.666
2017-03-08,-1.15,0.0125,-0.026
2017-03-09,0.49,-0.015,-0.546
2017-03-10,-0.5,-0.0275,-0.504
2017-03-13,2.62,0.0875,0.27
2017-03-14,0.24,-0.0775,2.378
2017-03-15,1.05,0.2625,-0.254
2017-03-16,-1.11,-0.0075,-0.07
2017-03-17,1.06,-0.2525,-0.5
2017-03-20,0.38,0.265,0.264
2017-03-21,-4.33,-0.5675,-2.43
2017-03-22,0.11,0.3925,0.69
2017-03-23,-0.3,-0.085,-0.122
2017-03-24,-0.34,-0.215,1.492
2017-03-27,3.23,0.3725,1.924
2017-03-28,1.07,0.7225,0.086
2017-03-29,0.97,0.11,-0.192
2017-03-30,1.25,-0.065,-0.024
2017-03-31,-0.19,-0.015,-0.086
2017-04-03,0.22,-0.0025,2.324
2017-04-04,-1.34,0.38,1.362
2017-04-05,-2.57,-0.05,-1.408
2017-04-06,-0.26,-0.1575,0.364
2017-04-07,-0.68,-0.0975,1.008
2017-04-10,0.81,-0.1075,0.648
2017-04-11,0.07,-0.3275,-0.934
2017-04-12,-1.02,0.05,-1.9
2017-04-13,-1.33,-0.215,1.46
2017-04-17,2.82,0.0875,-0.252
2017-04-18,-3.98,-0.0525,0.11
2017-04-19,-3.61,-0.3,0.612
2017-04-20,0.88,0.305,-0.8
2017-04-21,1.48,-0.0425,0.72
2017-04-24,0.22,0.035,-0.238
2017-04-25,4.7,0.155,1.158
2017-04-26,-1.36,-0.1975,-0.44
2017-04-27,2.48,-0.0325,-0.612
2017-04-28,-0.51,-0.11,0.848
2017-05-01,3.44,0.37,1.59
2017-05-02,0.69,-0.0075,-1.022
2017-05-03,-0.7,0.3675,-1.33
2017-05-04,1.66,0.0025,-2.396
2017-05-05,-1.95,0.55,2.07
2017-05-08,-0.17,0.995,-0.742
2017-05-09,1.36,0.03,2.376
2017-05-10,2.46,-0.0925,0.732
2017-05-11,-1.79,0.375,-0.06
2017-05-12,1.7,0.35,-0.134
2017-05-15,-0.23,-0.0775,-0.5
2017-05-16,-1.09,-0.1175,-0.116
2017-05-17,-4.89,-0.8375,-1.656
2017-05-18,2.09,0.3175,1.212
2017-05-19,0.87,-0.08,-0.934
2017-05-22,-0.7,-0.0025,-0.49
2017-05-23,0.2,-0.275,-1.32
2017-05-24,-0.6,-0.125,0.742
2017-05-25,2.05,0.035,1.162
2017-05-26,-0.41,-0.0975,1.572
2017-05-30,-0.38,0.0625,1.82
2017-05-31,-0.54,-0.3025,0.664
2017-06-01,-0.53,0.0025,-0.72601
2017-06-02,1.76,0.4675,0.016
2017-06-05,-0.43,-0.1025,1.764
2017-06-06,0.22,0.1375,1.63
2017-06-07,0.01,0.0875,0.662
2017-06-08,-0.24,-0.065,1.25
2017-06-09,-8.24,-1.5525,-3.42001
2017-06-12,-3.86,-0.08,0.204
2017-06-13,-1.66,-0.1425,1.666
2017-06-14,-2.14,-0.585,-0.086
2017-06-15,2.32,0.2425,0.568
2017-06-16,0.93,-0.3775,-1.316
2017-06-19,-0.89,0.67,-1.04
2017-06-20,-1.63,-0.465,-0.886
2017-06-21,2.53,0.0875,0.41
2017-06-22,-0.24,-0.035,0.924
2017-06-23,3.01,0.2875,0.2
2017-06-26,-1.28,-0.3375,-1.84
2017-06-27,-5.59,-0.32,-2.806
2017-06-28,1.77,0.335,0.912
2017-06-29,-2.73,-0.2575,-1.972
2017-06-30,-0.35,-0.1075,-0.42
2017-07-03,-3.63,-0.345,-3.52399
2017-07-05,1.03,0.1,-4.022
2017-07-06,0.12,-0.0725,-1.686
2017-07-07,3.53,0.32,-0.056
2017-07-10,2.33,0.2375,0.63
2017-07-11,1.96,0.2,2.244
2017-07-12,2.98,-0.0325,-0.176
2017-07-13,-0.3,0.5675,-1.34
2017-07-14,1.82,0.2675,0.918
2017-07-17,-1.21,0.185,-1.194
2017-07-18,7.48,0.22,2.148
2017-07-19,0.89,0.135,-0.594
2017-07-20,-0.24,-0.29,0.604
2017-07-21,5.82,0.07,-0.212
2017-07-24,-0.78,0.3775,2.456
2017-07-25,-0.82,0.235,-1.08
2017-07-26,1.38,0.0275,0.698
2017-07-27,-7.21,-0.7975,-2.308
2017-07-28,2.04,-0.0975,-0.364
2017-07-31,-2.6,-0.2925,-2.406
2017-08-01,-0.46,0.2375,-0.686
2017-08-02,-1.48,-0.535,1.39
2017-08-03,-1.3,-0.37,0.352
2017-08-04,0.67,0.08,1.982
2017-08-07,0.33,0.4375,-0.436
2017-08-08,-3.01,0.37,1.538
2017-08-09,4.35,0.45,0.506
2017-08-10,-4.89,-1.145,-1.24
2017-08-11,1.54,0.22,0.18
2017-08-14,1.2,0.1325,-0.166
2017-08-15,-3.03,0.235,-0.574
2017-08-16,2.48,-0.2475,-0.018
2017-08-17,-3.14,-0.665,-1.85799
2017-08-18,0.59,-0.09,-1.09
2017-08-21,-0.15,-0.0725,-1.592
2017-08-22,1.58,0.3875,0.044
2017-08-23,0.71,0.2275,2.756
2017-08-24,-1.73,-0.29,0.082
2017-08-25,-2.63,0.0525,-1.238
2017-08-28,0.69,0.3325,-0.324
2017-08-29,3.81,0.7025,1.576
2017-08-30,5.19,-0.1125,0.702
2017-08-31,-0.74,0.09,0.47
2017-09-01,-0.81,-0.1875,-0.144
2017-09-05,1.12,-0.4175,-0.842
2017-09-06,4.0,-0.2,-0.994
2017-09-07,0.2,-0.2075,0.926
2017-09-08,-2.03,-0.5575,-1.118
2017-09-11,3.64,0.25,2.468
2017-09-12,2.6,-0.4375,-0.348
2017-09-13,-0.43,-0.055,0.482
2017-09-14,-0.62,-0.1775,2.662
2017-09-15,-0.38,0.3525,1.06
2017-09-18,1.01,-0.36,0.95
2017-09-19,0.7,-0.195,-0.98
2017-09-20,-0.59,-0.4575,0.182
2017-09-21,2.96,-0.6025,-1.684
2017-09-22,-1.05,0.0875,-3.07999
2017-09-25,-7.91,0.14,-1.632
2017-09-26,-1.32,0.34,-1.13599
2017-09-27,0.96,0.1075,-1.786
2017-09-28,-0.55,-0.1525,-0.056
2017-09-29,0.62,0.2275,-0.152
2017-10-02,-5.1,-0.1125,-0.198
2017-10-03,1.54,0.1175,2.448
2017-10-04,3.04,-0.0375,0.752
2017-10-05,8.74,0.3025,-0.13399
2017-10-06,3.72,0.0825,0.756
2017-10-09,-2.23,0.0075,-1.342
2017-10-10,-2.77,-0.04,1.758
2017-10-11,-0.62,0.145,0.142
2017-10-12,-0.89,-0.0875,0.54601
2017-10-13,-0.21,0.065,-0.28201
2017-10-16,0.73,0.495,-0.632
2017-10-17,-0.63,0.1725,0.968
2017-10-18,-4.45,-0.165,0.736
2017-10-19,2.12,-0.1925,-0.75
2017-10-20,-1.74,-0.09,-1.51801
2017-10-23,-1.7,-0.18,-2.572
2017-10-24,3.27,0.2025,-0.292
2017-10-25,-1.61,-0.125,-2.172
2017-10-26,0.55,0.045,-0.322
2017-10-27,2.34,0.94,0.224
2017-10-30,-1.25,0.7075,0.18
2017-10-31,-1.78,0.285,2.26
2017-11-01,0.76,-0.745,-2.23399
2017-11-02,1.87,0.3775,-0.174
2017-11-03,0.21,-0.375,1.318
2017-11-06,0.13,0.47,-0.844
2017-11-07,-4.11,0.225,1.006
2017-11-08,0.44,0.395,-0.222
2017-11-09,-0.56,0.1925,0.098
2017-11-10,0.41,-0.11,0.098
2017-11-13,3.96,0.1175,3.054
2017-11-14,2.07,-0.425,-1.26
2017-11-15,-2.42,-0.2225,1.058
2017-11-16,1.18,-0.02,-0.298
2017-11-17,-2.54,-0.2225,-2.12401
2017-11-20,0.8,-0.0775,-1.01
2017-11-21,1.19,0.59,1.39
2017-11-22,-0.26,0.4,-0.834
